iterations,tabu_size,avg_time,avg_bins,std_bins
24,2,36.05383634567261,9.0,0.0
24,4,35.605801264444985,9.0,0.0
24,6,35.81646307309469,9.0,0.0
24,8,35.63219666481018,9.0,0.0
24,10,35.921754916508995,9.0,0.0
25,2,37.45028360684713,8.0,0.0
25,4,37.46256081263224,8.0,0.0
25,6,37.22930916150411,8.0,0.0
25,8,37.258004903793335,8.0,0.0
25,10,37.31565761566162,8.0,0.0
26,2,39.05188353856405,8.0,0.0
26,4,39.252792278925575,8.0,0.0
26,6,38.7336999575297,8.0,0.0
26,8,40.008908112843834,8.0,0.0
26,10,41.35059682528178,8.0,0.0
